codigoCampo;nombreCabecera;etiquetaVisual;formato;tipoDato;obligatorio;campoAsociado;regEx
fecha_actualizacion_datos;FECHA_PROCESO;Fecha actualización;yyyy-MM-dd HH:mm:ss;FECHA;0;;
codigo_identificacion;IDENTITY_CODE;Código de identificación;;TEXTO;0;;
numero_cuenta_linea_prestamo;NUM_CUENTA_PMCP;Número cuenta PMCP;;TEXTO;0;;
numero_cuenta_original;NUM_CUENTA_ORI;Número cuenta Original;;TEXTO;0;;
nombre_completo;NOMBRE_CLIENTE;Nombre completo;;TEXTO;0;;
gestor_asignado;GESTOR;Gestor asignado;;TEXTO;0;;
entidad_asignada;ENTIDAD;Entidad asignada;;TEXTO;0;;
flag_linea_prestamo;FLG_LP;FLG LP;;TEXTO;0;;
;NUM_CUENTA_LP;Número cuenta LP;;TEXTO;0;;
fecha_emision;FEC_FACTURACION;Fecha facturación;yyyy-MM-dd HH:mm:ss;FECHA;0;;
fecha_vencimiento;FEC_VENCIMIENTO;Fecha de vencimiento;yyyy-MM-dd HH:mm:ss;FECHA;0;;
dias_mora_inicial;DIAS_MORA_ASIG;Dias de mora inicial;;NUMERICO;0;;
grupo_mora_inicial;RANGO_MORA_ASIG;Grupo de mora inicial;;TEXTO;0;;
monto_capital_inicial;SLD_CAPITAL_ASIG;Saldo capital asignado;decimal(18,2);NUMERICO;0;;
dias_mora;DIAS_MORA;Dias de mora;;NUMERICO;0;;
grupo_mora;RANGO_MORA;Rango mora;;TEXTO;0;;
monto_mora;SLD_MORA;Saldo mora;decimal(18,2);NUMERICO;0;;
estado_contencion;CONTENCION;Estado contencion;;TEXTO;0;;
monto_minimo_pagar;MTO_PAGO_MIN_MES;Monto mínimo a pagar en el mes;decimal(18,2);NUMERICO;0;;
suma_pagos_mes;MTO_PAGO_TOT_MES;Monto total a pagar en el mes;decimal(18,2);NUMERICO;0;;
fecha_ultimo_pago;FEC_ULT_PAGO;Fecha del último pago;yyyy-MM-dd HH:mm:ss;FECHA;0;;
monto_ultimo_pago;MTO_ULT_PAGO;Monto de último pago;decimal(18,2);NUMERICO;0;;
suma_pagos_mes;SUMA_PAGOS_MES;Suma de pagos del mes;decimal(18,2);NUMERICO;0;;
;SLD_ACTUAL_TARJ;Saldo actual tarjeta;decimal(18,2);NUMERICO;0;;
;SLD_ACTUAL_LP;Saldo actual LP;decimal(18,2);NUMERICO;0;;
monto_actual;SLD_ACTUAL_CONS;Saldo actual consolidado;decimal(18,2);NUMERICO;0;;
;SLD_CAP_TARJ;Saldo capital tarjeta;decimal(18,2);NUMERICO;0;;
;SLD_CAP_LP;Saldo capital LP;decimal(18,2);NUMERICO;0;;
monto_capital;SLD_CAP_CONS;Saldo capital consolidado;decimal(18,2);NUMERICO;0;;
promocion_8;LIMPIA_TU_DEUDA;Limpia tu deuda;decimal(18,2);NUMERICO;0;;
promocion_9;PONTE_AL_DIA;Ponte al día;decimal(18,2);NUMERICO;0;;
promocion_10;PAGO_CAPITAL_MORA;Pago capital mora;decimal(18,2);NUMERICO;0;;
promocion_1;BAJA30;Baja 30;decimal(18,2);NUMERICO;0;;
promocion_2;BAJA60;Baja 60;decimal(18,2);NUMERICO;0;;
promocion_3;BAJA90;Baja 90;decimal(18,2);NUMERICO;0;;
probabilidad_pago;PROBABILIDAD;Probabilidad;;TEXTO;0;;
procede_ajuste;AJUSTES;Procede ajuste;;TEXTO;0;;
;FEC_CASTIGO;Fecha castigo;yyyy-MM-dd HH:mm:ss;FECHA;0;;
;PERIODO_CASTIGO;Periodo castigo;yyyy-MM-dd HH:mm:ss;FECHA;0;;
estado_migracion;ESTADO_MIGRACION;Estado migración;;TEXTO;0;;
procede_refinanciacion;PROCEDE_REFI;Procede refinanciacion;;TEXTO;0;;
;LIMPIA_TU_DEUDA_ESPECIAL;Limpia tu deuda especial;;TEXTO;0;;
;SCORE_RECOVERY;Score recovery;;TEXTO;0;;
;PROVISION_PROYECTADA;Provision proyectada;;TEXTO;0;;
;PROVISION_ACTUAL;Provision actual;;TEXTO;0;;
;LIBERACION;Liberacion;;TEXTO;0;;
;NOMBRE;Nombre adicional;;TEXTO;0;;
